Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency,Feedback Scores
2025-05-11 14:50:01,7,4,0.6875,0.0,0.005149707162713485,"['like', 'highly_dislike', 'highly_like', 'highly_dislike', 'dislike', 'highly_dislike', 'neutral', 'like']"
2025-05-11 14:50:01,8,7,0.6875,0.0,0.005307418420796519,"['neutral', 'dislike', 'like', 'highly_dislike', 'neutral', 'highly_like', 'highly_dislike', 'like']"
2025-05-11 14:50:01,7,9,0.6875,0.0,0.009286169618827736,"['highly_dislike', 'highly_like', 'dislike', 'highly_like', 'neutral', 'dislike', 'neutral', 'neutral']"
2025-05-11 14:50:01,7,13,0.6875,0.0,0.002573966429194649,"['neutral', 'neutral', 'neutral', 'neutral', 'dislike', 'highly_dislike', 'dislike', 'dislike']"
2025-05-11 14:50:01,6,16,0.6875,0.0,0.002327345223447014,"['dislike', 'neutral', 'like', 'like', 'dislike', 'dislike', 'neutral', 'highly_dislike']"
2025-05-11 14:50:01,8,20,0.6875,0.0,0.0033946572055411003,"['like', 'like', 'highly_dislike', 'like', 'highly_like', 'like', 'highly_dislike', 'dislike']"
2025-05-11 14:50:01,7,24,0.6875,0.0,0.002720610967419141,"['like', 'highly_dislike', 'dislike', 'highly_like', 'neutral', 'highly_dislike', 'dislike', 'highly_like']"
2025-05-11 14:50:01,6,27,0.6875,0.0,0.0011800162061319985,"['highly_like', 'highly_dislike', 'neutral', 'neutral', 'dislike', 'dislike', 'dislike', 'neutral']"
2025-05-11 14:50:01,8,29,0.6875,0.0,0.0031496404749327364,"['neutral', 'neutral', 'highly_dislike', 'dislike', 'highly_dislike', 'like', 'dislike', 'highly_dislike']"
2025-05-11 14:50:01,6,31,0.6875,0.0,0.0005926447792217858,"['dislike', 'like', 'highly_dislike', 'like', 'dislike', 'neutral', 'like', 'dislike']"
2025-05-11 14:50:01,7,34,0.6875,0.0,0.0027746910363147226,"['highly_like', 'highly_dislike', 'highly_dislike', 'highly_like', 'neutral', 'neutral', 'highly_like', 'like']"
2025-05-11 14:50:01,8,38,0.6875,0.0,0.0020632380870900134,"['like', 'highly_dislike', 'dislike', 'highly_dislike', 'like', 'neutral', 'highly_dislike', 'neutral']"
2025-05-11 14:50:01,8,41,0.6875,0.0,0.0012605082897357799,"['neutral', 'like', 'highly_dislike', 'like', 'like', 'dislike', 'highly_like', 'neutral']"
2025-05-11 14:50:01,6,44,0.6875,2.272727272727273,0.0019211962518789906,"['dislike', 'neutral', 'highly_like', 'neutral', 'like', 'neutral', 'highly_dislike', 'dislike']"
2025-05-11 14:50:01,7,48,0.6875,2.083333333333333,0.0017490592060999427,"['like', 'highly_like', 'highly_like', 'neutral', 'neutral', 'dislike', 'like', 'dislike']"
2025-05-11 14:50:01,8,51,0.6875,1.9607843137254901,0.0005634857660590048,"['highly_like', 'dislike', 'like', 'neutral', 'highly_dislike', 'neutral', 'highly_dislike', 'highly_like']"
2025-05-11 14:50:01,8,53,0.6875,1.8867924528301887,0.0003364271508861056,"['highly_like', 'dislike', 'like', 'like', 'like', 'highly_dislike', 'highly_like', 'dislike']"
2025-05-11 14:50:01,6,56,0.6875,1.7857142857142856,0.0017312237042344865,"['highly_dislike', 'highly_like', 'like', 'neutral', 'neutral', 'like', 'highly_dislike', 'highly_dislike']"
2025-05-11 14:50:01,6,58,0.6875,1.7241379310344827,0.0009501693088212371,"['dislike', 'like', 'highly_like', 'highly_like', 'highly_dislike', 'dislike', 'neutral', 'highly_like']"
2025-05-11 14:50:01,7,61,0.6875,1.639344262295082,0.0010997860682099483,"['highly_dislike', 'highly_like', 'like', 'like', 'like', 'neutral', 'highly_dislike', 'like']"
2025-05-11 14:50:01,8,64,0.6875,1.5625,0.001343901365340772,"['like', 'neutral', 'highly_like', 'dislike', 'like', 'dislike', 'highly_dislike', 'dislike']"
2025-05-11 14:50:01,8,67,0.6875,1.4925373134328357,0.0013513363799791533,"['neutral', 'like', 'highly_like', 'like', 'highly_dislike', 'highly_dislike', 'neutral', 'like']"
2025-05-11 14:50:01,8,69,0.6875,1.4492753623188406,0.0008908268691593914,"['highly_dislike', 'like', 'highly_like', 'highly_like', 'neutral', 'neutral', 'highly_dislike', 'like']"
2025-05-11 14:50:01,8,72,0.6875,1.3888888888888888,0.0005512898044779473,"['highly_dislike', 'highly_like', 'highly_dislike', 'dislike', 'highly_dislike', 'dislike', 'highly_like', 'like']"
2025-05-11 14:50:01,6,76,0.6875,1.3157894736842104,0.0005323649808013686,"['like', 'highly_dislike', 'like', 'highly_like', 'dislike', 'neutral', 'highly_like', 'highly_dislike']"
2025-05-11 14:50:01,8,80,0.6875,1.25,0.0010590614466689527,"['highly_dislike', 'like', 'dislike', 'highly_dislike', 'neutral', 'highly_dislike', 'highly_like', 'highly_dislike']"
2025-05-11 14:50:01,7,83,0.6875,1.2048192771084338,0.00015026833182646502,"['highly_like', 'highly_like', 'like', 'highly_dislike', 'highly_like', 'neutral', 'highly_dislike', 'like']"
2025-05-11 14:50:01,8,85,0.6875,1.1764705882352942,0.00022949596141801537,"['like', 'highly_like', 'highly_like', 'highly_like', 'neutral', 'highly_dislike', 'highly_like', 'like']"
2025-05-11 14:50:01,8,88,0.6875,1.1363636363636365,0.0005463115904915204,"['dislike', 'like', 'like', 'highly_dislike', 'highly_dislike', 'dislike', 'highly_like', 'highly_like']"
2025-05-11 14:50:01,8,91,0.6875,1.098901098901099,0.0007360965418473751,"['neutral', 'like', 'neutral', 'highly_dislike', 'neutral', 'neutral', 'highly_like', 'dislike']"
