Simulation Time,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency
2025-05-10 11:21:14,7,3,0.7,0.0,0.01098116430870241
2025-05-10 11:21:14,8,7,0.6499999999999999,0.0,0.005365935125667019
2025-05-10 11:21:14,8,11,0.6499999999999999,0.0,0.002008834644978651
2025-05-10 11:21:14,6,15,0.6499999999999999,0.0,0.0019065662809701076
2025-05-10 11:21:14,7,18,0.6499999999999999,0.0,0.0009062520906298003
2025-05-10 11:21:14,8,21,0.6499999999999999,0.0,0.004697921010436444
2025-05-10 11:21:14,7,25,0.6333333333333333,0.0,0.0033431589553889972
2025-05-10 11:21:14,6,28,0.6499999999999999,0.0,0.0018749425172350615
2025-05-10 11:21:14,6,31,0.6499999999999999,0.0,0.002016404215705342
2025-05-10 11:21:14,7,35,0.6499999999999999,0.0,0.0012321732967597923
2025-05-10 11:21:14,8,38,0.6599999999999999,0.0,0.0021615014520583718
2025-05-10 11:21:14,8,41,0.6599999999999999,0.0,0.002246024729314709
2025-05-10 11:21:14,8,43,0.6833333333333332,0.0,0.002090083751962495
2025-05-10 11:21:14,7,47,0.6833333333333332,0.0,0.0006590805667598308
2025-05-10 11:21:14,7,49,0.6833333333333332,0.0,0.0007582937625431029
2025-05-10 11:21:14,6,52,0.6833333333333332,1.9230769230769231,0.0007898244925332779
2025-05-10 11:21:14,7,56,0.6714285714285715,1.7857142857142856,0.0002302902840495084
2025-05-10 11:21:14,8,59,0.6714285714285715,1.694915254237288,0.0003525755300070254
2025-05-10 11:21:14,8,61,0.6875,1.639344262295082,0.0014570889071275723
2025-05-10 11:21:14,7,64,0.6875,1.5625,0.0008003593337319668
