Iteration,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency,Feedback Score
0,7,4,0.6,0.0,0.01891758116611796,0
1,6,7,0.6499999999999999,0.0,0.00560832276182491,0
2,8,10,0.6666666666666666,0.0,0.0069877212124720145,0
3,6,13,0.6666666666666666,0.0,0.0027828769631834736,0
4,8,15,0.7,0.0,0.004643798978203154,0
5,8,19,0.6799999999999999,0.0,0.00410111519634145,0
6,8,22,0.6799999999999999,0.0,0.004112312689731023,0
7,7,26,0.6799999999999999,0.0,0.0030504507140861063,0
8,6,29,0.6799999999999999,0.0,0.0010388733630875553,0
9,7,32,0.6799999999999999,0.0,0.0013481631878847506,0
10,6,35,0.6833333333333332,0.0,0.0014717194669214713,0
11,8,37,0.6833333333333332,0.0,0.0019356053899294856,0
12,8,40,0.6833333333333332,0.0,0.0010617767511245989,0
13,7,42,0.7,2.380952380952381,0.0013663538190196547,0
14,8,45,0.7,2.2222222222222223,0.0021787807591907436,0
15,7,49,0.6875,4.081632653061225,0.0015916306947757245,0
16,7,51,0.6875,5.88235294117647,0.0018655709186934679,0
17,8,55,0.6875,5.454545454545454,0.0014912700129774124,0
18,7,58,0.6875,5.172413793103448,0.0015079686941074314,0
19,8,61,0.6875,6.557377049180328,0.0009634466465547868,0
20,6,65,0.6875,7.6923076923076925,0.0004198494664375774,0
21,7,67,0.6875,7.462686567164178,0.00022158265610420494,0
22,8,71,0.6875,7.042253521126761,0.0007213369136018312,0
23,8,74,0.6875,6.756756756756757,0.0009429482367142843,0
24,8,78,0.6875,6.41025641025641,0.0008750842898688773,0
25,8,81,0.6875,6.172839506172839,0.001183098153746493,0
26,7,84,0.6875,5.952380952380952,0.00035436202951183784,0
27,8,87,0.6875,5.747126436781609,0.00028186161532309446,0
28,7,90,0.6875,5.555555555555555,0.0009731037578952595,0
29,8,94,0.6875,5.319148936170213,0.0002079471631497841,0
30,6,97,0.6875,5.154639175257731,0.000196876907876886,0
31,7,100,0.6875,5.0,0.0007966135382100204,0
32,8,102,0.6875,5.88235294117647,0.0007357481154299855,0
33,7,105,0.6875,5.714285714285714,0.0002540664169530836,0
34,8,108,0.6875,5.555555555555555,0.0005150411819586856,0
35,8,111,0.6875,5.405405405405405,0.00018998337039543924,0
36,7,115,0.6875,5.217391304347826,0.0004940272254546927,0
37,8,117,0.6875,5.128205128205128,0.00012085001716687579,0
38,7,121,0.6875,4.958677685950414,0.000812442537956712,0
39,7,124,0.6875,4.838709677419355,0.000684019671642056,0
40,7,128,0.6875,4.6875,0.000585285098441097,0
41,8,132,0.6875,4.545454545454546,0.00026839696052412515,0
42,7,135,0.6875,4.444444444444445,0.0006952904046726042,0
43,8,138,0.6875,4.3478260869565215,0.0006101850474771427,0
44,6,141,0.6875,4.25531914893617,0.0004126986696494812,0
45,7,144,0.6875,4.166666666666666,0.00023654555448483175,0
46,7,147,0.6875,4.081632653061225,0.00014254906600611944,0
47,7,150,0.6875,4.0,0.00016779940656779026,0
48,5,152,0.6875,3.9473684210526314,0.0005103990240061462,0
49,6,155,0.6875,3.870967741935484,0.00011410985019847528,0
50,8,157,0.6875,3.821656050955414,0.00027225060607858985,0
51,8,159,0.6875,3.7735849056603774,0.00040357925503169904,0
52,7,162,0.6875,3.7037037037037033,0.00013591426470543251,0
53,8,164,0.6875,3.6585365853658534,0.0005179689495892607,0
54,8,167,0.6875,4.191616766467066,0.000221814677747007,0
55,7,171,0.6875,4.093567251461988,0.0002579847079605754,0
56,7,175,0.6875,4.0,0.000476625947853925,0
57,7,178,0.6875,3.932584269662921,0.00041273678071518204,0
58,7,181,0.6875,3.867403314917127,0.00036042406781972046,0
59,8,183,0.6875,3.825136612021858,0.00048782205703597057,0
60,6,186,0.6875,3.763440860215054,0.00039510889013246613,0
61,7,190,0.6875,3.684210526315789,0.0003943207471346145,0
62,8,194,0.6875,3.608247422680412,0.0003780243744569953,0
63,7,198,0.6875,4.040404040404041,0.00019692755748899928,0
