Iteration,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency,Feedback Score
0,8,4,0.6,0.0,0.02443397541221087,0
1,8,7,0.6499999999999999,0.0,0.0017895331162343213,0
2,6,10,0.6666666666666666,0.0,0.0011564827632555455,0
3,8,12,0.7,0.0,0.003266086839025601,0
4,8,15,0.7,0.0,0.0035599558242485046,0
5,7,18,0.7,0.0,0.0016243326981225559,0
6,8,21,0.7,0.0,0.0011256985639365928,0
7,6,23,0.7,4.3478260869565215,0.003851474176891559,0
8,7,27,0.6833333333333332,3.7037037037037033,0.0005865986915683539,0
9,8,30,0.6833333333333332,3.3333333333333335,0.002679905822758947,0
10,8,34,0.6714285714285715,2.941176470588235,0.0010844514074852749,0
11,7,38,0.6714285714285715,2.631578947368421,0.0018448408010912258,0
12,6,41,0.6714285714285715,2.4390243902439024,0.0013983172425839716,0
13,8,45,0.6714285714285715,2.2222222222222223,0.0019364964444634964,0
14,8,49,0.6714285714285715,2.0408163265306123,0.001354009172448358,0
15,7,53,0.6714285714285715,1.8867924528301887,0.0003571983761888245,0
16,8,56,0.6714285714285715,3.571428571428571,0.0016061288354833878,0
17,7,59,0.6714285714285715,3.389830508474576,0.0012792182693742327,0
18,6,61,0.6714285714285715,3.278688524590164,0.0010711029232771906,0
19,8,65,0.6714285714285715,3.076923076923077,0.0014402705830115325,0
20,6,67,0.6875,2.9850746268656714,0.0014703910250864012,0
21,8,71,0.6875,2.8169014084507045,0.000402420894958219,0
22,7,74,0.6875,2.7027027027027026,0.00021762082432905195,0
23,8,76,0.6875,2.631578947368421,0.0012370172904342177,0
24,6,80,0.6875,3.75,0.00042771866111991646,0
25,8,84,0.6875,3.571428571428571,0.0001579651035819031,0
26,7,87,0.6875,3.4482758620689653,0.0001866016235540431,0
27,8,91,0.6875,3.296703296703297,0.0005304233147936173,0
28,8,94,0.6875,4.25531914893617,0.0003600499946093115,0
29,8,98,0.6875,4.081632653061225,0.0001298894885212317,0
30,8,101,0.6875,3.9603960396039604,0.0008142410431559073,0
31,8,105,0.6875,3.8095238095238098,0.0007836309338514608,0
32,8,108,0.6875,3.7037037037037033,0.0003207310851036113,0
33,7,112,0.6875,3.571428571428571,0.000607925557969391,0
34,6,115,0.6875,3.4782608695652173,0.0002969588850110494,0
35,8,118,0.6875,3.389830508474576,0.0001853591462837791,0
36,7,120,0.6875,4.166666666666666,0.0008219980350689845,0
37,8,124,0.6875,4.032258064516129,0.00034106639922410923,0
38,8,128,0.6875,3.90625,0.00026059246236179135,0
39,8,130,0.6875,3.8461538461538463,0.00013040418717091034,0
40,7,134,0.6875,3.731343283582089,0.0004298333255020827,0
41,7,137,0.6875,4.37956204379562,9.908989044305295e-05,0
42,8,141,0.6875,4.25531914893617,0.0006878331549018972,0
43,7,145,0.6875,4.137931034482759,9.782914126517737e-05,0
44,7,149,0.6875,4.026845637583892,0.00016269136591318684,0
45,6,152,0.6875,3.9473684210526314,0.0003701243442766258,0
46,7,154,0.6875,3.896103896103896,0.00035583232219573406,0
47,8,157,0.6875,3.821656050955414,0.0002419739285327414,0
48,7,160,0.6875,3.75,0.0006043092233161092,0
49,7,164,0.6875,3.6585365853658534,0.0001576535405240464,0
50,7,166,0.6875,3.614457831325301,0.0005970802726426299,0
51,8,168,0.6875,4.166666666666666,0.00024176249089609823,0
52,8,171,0.6875,4.093567251461988,0.00024359547205048623,0
53,8,173,0.6875,4.046242774566474,0.00038228712527343494,0
54,7,176,0.6875,3.977272727272727,0.0005589994445998456,0
55,7,179,0.6875,3.910614525139665,0.0004704716264704411,0
56,8,182,0.6875,3.8461538461538463,0.00023723004651563068,0
57,7,185,0.6875,3.783783783783784,0.0002727309795315539,0
58,8,189,0.6875,3.7037037037037033,0.00048384452989152176,0
59,7,192,0.6875,4.166666666666666,9.663341181040715e-05,0
60,7,194,0.6875,4.123711340206185,0.0003991431404709473,0
61,7,196,0.6875,4.081632653061225,0.0002463422167866248,0
62,7,200,0.6875,4.5,0.0004675908549725463,0
63,7,203,0.6875,4.433497536945813,0.00016818737383549647,0
64,7,207,0.6875,4.3478260869565215,0.00013926887349734456,0
65,7,209,0.6875,4.30622009569378,6.508228830374338e-05,0
66,8,211,0.6875,4.739336492890995,0.0002381048430169767,0
67,6,215,0.6875,4.651162790697675,0.00026753028575913633,0
