Iteration,No of Clients,Total Requests,Hop Reduction,Cache Hit Ratio,Latency,Feedback Score
0,7,4,0.6,0.0,0.00650630814078613,0
1,8,6,0.7,0.0,0.005332054630918637,0
2,8,10,0.6666666666666666,0.0,0.005113953294099142,0
3,8,13,0.675,0.0,0.004006626156020881,0
4,7,16,0.6799999999999999,0.0,0.004333565302552658,0
5,6,19,0.6799999999999999,0.0,0.0016191945388756308,0
6,7,23,0.6666666666666666,0.0,0.0031053198743536863,0
7,8,27,0.6666666666666666,0.0,0.0033157129964586592,0
8,8,31,0.6666666666666666,0.0,0.0010551930194596412,0
9,7,34,0.6714285714285715,0.0,0.0019565196158740973,0
10,7,36,0.6875,0.0,0.0009652306510227692,0
11,7,40,0.6875,0.0,0.0006187636448888081,0
12,5,44,0.6875,0.0,0.0019574705617804397,0
13,6,46,0.6875,0.0,0.0020568933012853445,0
14,7,48,0.6875,0.0,0.0015589624369391627,0
15,6,52,0.6875,1.9230769230769231,0.0014300491097358184,0
16,7,55,0.6875,1.8181818181818181,0.00042847885572706905,0
17,6,59,0.6875,1.694915254237288,0.0006019289945783632,0
18,7,63,0.6875,1.5873015873015872,0.0012035655870588713,0
19,6,65,0.6875,1.5384615384615385,0.0003500116965521866,0
20,7,69,0.6875,1.4492753623188406,0.00033351833223536204,0
21,8,73,0.6875,2.73972602739726,0.0012384900376455675,0
22,8,77,0.6875,3.896103896103896,0.0004809267303005294,0
23,7,80,0.6875,3.75,0.0007320281958322604,0
24,6,83,0.6875,3.614457831325301,0.001143509673508538,0
25,6,86,0.6875,3.488372093023256,0.00020095594527860377,0
26,7,89,0.6875,4.49438202247191,0.001083986202331527,0
27,7,91,0.6875,4.395604395604396,0.0005948662333269242,0
28,7,95,0.6875,5.263157894736842,0.0007284146978968129,0
29,7,98,0.6875,5.1020408163265305,0.0007744820386302193,0
30,8,102,0.6875,4.901960784313726,0.0009666330126196961,0
31,7,106,0.6875,5.660377358490567,0.000566867852503673,0
32,6,109,0.6875,5.5045871559633035,0.0008206395266491036,0
33,8,112,0.6875,5.357142857142857,0.00044750061460159556,0
